ID,Type,Title,Price (EGP),Down Payment,Location Cluster,Full Address,Bedrooms,Bathrooms,Area (sqm),Agency Name,URL
88968916,Chalet,Chalet 2BR Direct Lagoon View in Alamein Over 12 Y,7038000,,Mazarine,"Mazarine, New Alamein City, Al Alamein, North Coast",2,2,140,Roots Real Estate,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-al-alamein-mazarine-88968916.html
88968654,Chalet,STAND ALONE CHALET 190M)FOR SALE IN FOUKA BAY(RTM),13000000,,Fouka Bay,"Fouka Bay, Qesm Marsa Matrouh, North Coast",3,3,190,Realpals Real Estate,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-qesm-marsa-matrouh-fouka-bay-88968654.html
87844222,Hotel Apartment,GROUND CHALET ( SEA VIEW ) FOR SALE FOUKA BAY (RTM,12500000,,Fouka Bay,"Fouka Bay, Qesm Marsa Matrouh, North Coast",2,3,120,Realpals Real Estate,https://www.propertyfinder.eg/en/plp/buy/hotel-apartment-for-sale-north-coast-qesm-marsa-matrouh-fouka-bay-87844222.html
88968628,Apartment,Apartment 204m for sale in Lake View Residence,16900000,,Lake View Residence,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,204,AK Circle,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-lake-view-residence-88968628.html
88968599,Twin House,Twin house 360 m for sale -first row golf,125000000,,Katameya Heights,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",3,4,360,AK Circle,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-katameya-heights-88968599.html
88968493,Apartment,Apartment resale 3bed fully finished+Installments,5300000,,One Kattameya,"One Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",3,3,167,INVEST PRO,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-one-kattameya-88968493.html
88953219,Apartment,"Fully Finished Apartment ,Affordable Installments",3000000,,Zed East,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,145,why solutions,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-zed-east-88953219.html
88968350,Chalet,"chalet131m fully finished +A,C with DP 4.5 million",4500000,,Silver Sands,"Silver Sands, Qesm Marsa Matrouh, North Coast",3,3,131,Property Hills Realty,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-qesm-marsa-matrouh-silver-sands-88968350.html
88968215,Apartment,under market price apartment for sale mountainview,3500000,,Mountain View iCity,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,145,GNY Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-icity-88968215.html
88968090,Chalet,Chalet With Large Garden Fully Furnished in Rhodes,7500000,,Mountain View,"Mountain View, Ras Al Hekma, North Coast",2,2,95,Square real estate,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-mountain-view-88968090.html
